conference,conference_slug,year,proceedings_url,publisher,status,notes
ICML,icml,2015,https://proceedings.mlr.press/v37/,PMLR,pending,Seeded from reference image
ICML,icml,2016,https://proceedings.mlr.press/v48/,PMLR,pending,Seeded from reference image
ICML,icml,2017,https://proceedings.mlr.press/v70/,PMLR,pending,Seeded from reference image
ICML,icml,2018,https://proceedings.mlr.press/v80/,PMLR,pending,Seeded from reference image
ICML,icml,2019,https://proceedings.mlr.press/v97/,PMLR,pending,Seeded from reference image
ICML,icml,2020,https://proceedings.mlr.press/v119/,PMLR,pending,Seeded from reference image
ICML,icml,2021,https://proceedings.mlr.press/v139/,PMLR,pending,Seeded from reference image
ICML,icml,2022,https://proceedings.mlr.press/v162/,PMLR,pending,Seeded from reference image
ICML,icml,2023,https://proceedings.mlr.press/v202/,PMLR,pending,Seeded from reference image
ICML,icml,2024,https://proceedings.mlr.press/v235/,PMLR,pending,Seeded from reference image
ICML,icml,2025,https://proceedings.mlr.press/v267/,PMLR,pending,Added for requested extension beyond the image
NeurIPS,neurips,2015,https://proceedings.neurips.cc/paper/2015,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2016,https://proceedings.neurips.cc/paper/2016,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2017,https://proceedings.neurips.cc/paper/2017,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2018,https://proceedings.neurips.cc/paper/2018,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2019,https://proceedings.neurips.cc/paper/2019,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2020,https://proceedings.neurips.cc/paper/2020,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2021,https://proceedings.neurips.cc/paper/2021,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2022,https://proceedings.neurips.cc/paper/2022,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2023,https://proceedings.neurips.cc/paper/2023,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2024,https://proceedings.neurips.cc/paper/2024,NeurIPS Proceedings,pending,Exact year-specific NeurIPS proceedings page
NeurIPS,neurips,2025,https://openreview.net/group?id=NeurIPS.cc/2025/Conference,OpenReview,pending,Year-specific NeurIPS 2025 venue page on OpenReview
AAAI,aaai,2015,https://aaai.org/proceeding/01-aaai-2015/,AAAI Press,pending,Exact AAAI 2015 proceedings archive
AAAI,aaai,2016,https://auld.aaai.org/Library/AAAI/aaai16contents.php,AAAI Press,pending,Exact AAAI 2016 contents page
AAAI,aaai,2017,https://aaai.org/proceeding/01-aaai-31-2017/,AAAI Press,pending,Exact AAAI 2017 proceedings archive
AAAI,aaai,2018,https://aaai.org/proceeding/aaai-32-2018/,AAAI Press,pending,Exact AAAI 2018 proceedings archive
AAAI,aaai,2019,https://aaai.org/proceeding/aaai-33-2019/,AAAI Press,pending,Exact AAAI 2019 proceedings archive
AAAI,aaai,2020,https://aaai.org/proceeding/vol-34-no-08-aaai-20-iaai-20-technical-tracks/,AAAI Press,pending,Exact AAAI 2020 proceedings archive
AAAI,aaai,2021,https://aaai.org/proceeding/aaai-35-2021/,AAAI Press,pending,Exact AAAI 2021 proceedings archive
AAAI,aaai,2022,https://aaai.org/proceeding/aaai-36-2022/,AAAI Press,pending,Exact AAAI 2022 proceedings archive
AAAI,aaai,2023,https://aaai.org/proceeding/aaai-37-2023/,AAAI Press,pending,Exact AAAI 2023 proceedings archive
AAAI,aaai,2024,https://aaai.org/proceeding/aaai-38-2024/,AAAI Press,pending,Exact AAAI 2024 proceedings archive
AAAI,aaai,2025,https://aaai.org/proceeding/aaai-39-2025/,AAAI Press,pending,Exact AAAI 2025 proceedings archive
MICCAI,miccai,2015,https://link.springer.com/book/10.1007/978-3-319-24553-9,Springer LNCS,pending,Representative MICCAI 2015 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2016,https://link.springer.com/book/10.1007/978-3-319-46720-7,Springer LNCS,pending,Representative MICCAI 2016 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2017,https://link.springer.com/book/10.1007/978-3-319-66182-7,Springer LNCS,pending,Representative MICCAI 2017 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2018,https://link.springer.com/book/10.1007/978-3-030-00928-1,Springer LNCS,pending,Representative MICCAI 2018 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2019,https://link.springer.com/book/10.1007/978-3-030-32239-7,Springer LNCS,pending,Representative MICCAI 2019 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2020,https://link.springer.com/book/10.1007/978-3-030-59710-8,Springer LNCS,pending,Representative MICCAI 2020 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2021,https://link.springer.com/book/10.1007/978-3-030-87193-2,Springer LNCS,pending,Representative MICCAI 2021 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2022,https://link.springer.com/book/10.1007/978-3-031-16431-6,Springer LNCS,pending,Representative MICCAI 2022 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2023,https://link.springer.com/book/10.1007/978-3-031-43907-0,Springer LNCS,pending,Representative MICCAI 2023 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2024,https://link.springer.com/book/10.1007/978-3-031-72378-0,Springer LNCS,pending,Representative MICCAI 2024 Part I page; collect all main-conference volumes for the year
MICCAI,miccai,2025,https://link.springer.com/book/9783032049278,Springer LNCS,pending,Representative MICCAI 2025 Part I page; collect all main-conference volumes for the year
Interspeech,interspeech,2015,https://www.isca-archive.org/interspeech_2015/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2016,https://www.isca-archive.org/interspeech_2016/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2017,https://www.isca-archive.org/interspeech_2017/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2018,https://www.isca-archive.org/interspeech_2018/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2019,https://www.isca-archive.org/interspeech_2019/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2020,https://www.isca-archive.org/interspeech_2020/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2021,https://www.isca-archive.org/interspeech_2021/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2022,https://www.isca-archive.org/interspeech_2022/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2023,https://www.isca-archive.org/interspeech_2023/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2024,https://www.isca-archive.org/interspeech_2024/,ISCA Archive,pending,Added by user request
Interspeech,interspeech,2025,https://www.isca-archive.org/interspeech_2025/,ISCA Archive,pending,Added by user request
ICASSP,icassp,2015,https://dblp.org/rec/conf/icassp/2015,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2016,https://dblp.org/rec/conf/icassp/2016,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2017,https://dblp.org/rec/conf/icassp/2017,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2018,https://dblp.org/rec/conf/icassp/2018,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2019,https://dblp.org/rec/conf/icassp/2019,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2020,https://dblp.org/rec/conf/icassp/2020,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2021,https://dblp.org/rec/conf/icassp/2021,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2022,https://dblp.org/rec/conf/icassp/2022,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2023,https://dblp.org/rec/conf/icassp/2023,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2024,https://dblp.org/rec/conf/icassp/2024,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
ICASSP,icassp,2025,https://dblp.org/rec/conf/icassp/2025,IEEE,pending,Year-specific proceedings record via DBLP; IEEE is the canonical publisher and safer for ToC access than ACM mirror
